,sentence
0,By NICHOLAS ROE
1,But how ?
2,And where ?
3,What else ?
4,A grin .
5,The sea ?
6,The earth ?
7,He shrugged .
8,Stephen Gold explains
9,By STEPHEN GOLD
10,By MARTIN PACEY
11,By JONATHAN GLANCEY
12,By MARK STEYN
13,Booze ?
14,Often ?
15,Political expediency .
16,By Daniel John
17,By AUBERON WAUGH
18,By Richard Savill
19,Biological theories
20,Psychological theories
21,Sociological theories
22,CHAPTER NINE
23,Paula guessed .
24,Gary Oliver !
25,Gary suggested .
26,‘ Yep .
27,Paula asked .
28,‘ Perhaps .
29,‘ True .
30,Paula laughed .
31,He grinned .
32,Paula protested .
33,She shrugged .
34,Gary asked .
35,Paula smiled .
36,I asked .
37,I nodded .
38,I grimaced .
39,He paused .
40,Chatterton nodded .
41,I asked .
42,Instead I
43,John Head
44,1
45,2
46,3
47,Judith Whyte
48,Other GIST Interventions
49,5
50,Judith Hughes
51,( p.73 )
52,But what ?
53,ILLEGITIMATE INFERENCES
54,TWENTY-EIGHT
55,Nairobi .
56,Fairfax laughs .
57,Yes .
58,Sorry . ’
59,Nobody moves .
60,Attention . ’
61,‘ Yes .
62,‘ Hooh .
63,‘ No .
64,Claudia rises .
65,Fairfax stops .
66,Claudia interrupts .
67,Claudia rises .
68,Rumpole tonight .
69,Yeah Rumpole and
70,Last one .
71,Coronation Street .
72,Yeah .
73,I am
74,the wheel .
75,Aye ?
76,You never know
77,Oh .
78,Ha .
79,Mhm .
80,Ha .
81,Oh dear !
82,Aye ?
83,Quite interesting .
84,Stuart !
85,Stuart !
86,Hello .
87,Ha .
88,Ha .
89,Aye ?
90,Aye ?
91,Yeah .
92,through .
93,Yeah just
94,I just
95,said smile !
96,Dick ?
97,Dick ?
98,He 's the
99,The
100,man ?
101,No .
102,Tried to .
103,No .
104,Shopping
105,What with ?
106,A shepherd .
107,A shepherd .
108,Oh .
109,Ah ?
110,Aye ?
111,Ah !
112,Yeah anyway it
113,if possible ?
114,Why not ?
115,Oh dear !
116,We had
117,Oh .
118,We 're
119,Are you ?
120,No .
121,Just that normally
122,No .
123,Just the thought
124,Yeah .
125,"Hey yeah ,"
126,Do n't start
127,That a
128,Ah ?
129,Sit !
130,Ha !
131,There 's
132,Its in the
133,Sometimes .
134,upstairs .
135,Do I get
136,so
137,Gateways in
138,Aye ?
139,Do you er
140,Millet ?
141,Sand sheets .
142,What else ?
143,Yeah .
144,Aye ?
145,yeah .
146,"you one ,"
147,Sixty .
148,Yeah .
149,You know .
150,Fags ?
151,Yeah .
152,Any time .
153,Not today .
154,Do n't forget
155,Aye ?
156,Salt ?
157,Tomato puree ?
158,nutmeg ?
159,Oh alright
160,Yeah alright .
161,carrying it .
162,Yeah
163,"Yes ,"
164,You can buy
165,Oy !
166,!
167,Yeah .
168,Very true .
169,Yeah .
170,Ooh !
171,Ooh !
172,When ?
173,Ha ha .
174,Shut up !
175,Shut up !
176,You did .
177,What ?
178,be amazed .
179,You replace the
180,Yeah .
181,Got radio yes
182,What ?
183,Nine o'clock .
184,Aunty Mary .
185,Alright ?
186,No .
187,Do they ?
188,for Tesco and
189,Yeah
190,Ooh !
191,Mm
192,Hiya .
193,Ask yourself
194,Which one ?
195,Yeah ?
196,Yeah
197,Well
198,tomorrow
199,Well I
200,Ann ?
201,No
202,Yeah .
203,are fourteen .
204,Bag here
205,one .
206,Yeah .
207,I know .
208,Any
209,Yeah .
210,Er yeah
211,yeah you can
212,David
213,three weeks
214,that
215,Yep .
216,Yeah .
217,Ha !
218,Yes .
219,Yeah .
220,Oh no !
221,And then watch
222,Yeah he said
223,Yeah .
224,Mm .
225,Yeah .
226,Aha .
227,Oh right .
228,What ?
229,then !
230,Why ?
231,but
232,turn them off
233,No .
234,It 's that
235,a microwave .
236,Yep .
237,Yes .
238,Yeah .
239,Pardon ?
240,Yep .
241,Pardon ?
242,Oh dear .
243,.
244,"Oh , it"
245,Yeah
246,Yeah
247,Oh wow .
248,No .
249,Seems like
250,Thank you darling
251,Yeah
252,"Oh , sorry"
253,"Thanks dear ,"
254,Hello
255,"Er ,"
256,Oh I
257,Hello girls
258,Mm .
259,Oh .
260,Better
261,Yes .
262,Hello .
263,Good morning .
264,No
265,Jean
266,"Yes ,"
267,is she ?
268,.
269,.
270,.
271,Life 's not
272,Oh .
273,Fine .
274,.
275,time .
276,Hi ya
277,Hello
278,Yes
279,Oh
280,I 've got
281,I hope .
282,Yeah .
283,Yeah .
284,many people .
285,so
286,Mm .
287,Whatever
288,Sounds like .
289,Mm .
290,oh there
291,.
292,Probably .
293,"Yeah , well"
294,Oh yeah
295,", yeah ."
296,So its probably
297,Ah
298,would you ?
299,three months
300,What ?
301,Sponsored slim
302,blush then .
303,Yeah
304,Yeah .
305,I
306,.
307,Been there
308,Eh ?
309,shut up
310,.
311,shut up .
312,You be
313,What ?
314,That erm
315,Well
316,for
317,Somebody
318,"Yeah ,"
319,.
320,Got to eat
321,"Chips , fish"
322,"Yeah , I"
323,What now ?
324,","
325,.
326,"No ,"
327,Have they ?
328,"Yeah ,"
329,Pardon ?
330,Be alright ?
331,Well the two
332,Yeah .
333,the worst yeah
334,ticket up
335,Pardon ?
336,yeah .
337,I had eight
338,So
339,What ?
340,You know the
341,Yeah .
342,Yeah .
343,And then something
344,Mm .
345,Well it 's
346,Yeah .
347,Small
348,Oh !
349,Yeah .
350,it ?
351,Yeah but
352,Yeah .
353,Erm
354,In Lancaster ?
355,Ah !
356,Yes .
357,Yes .
358,Yeah .
359,Ah yeah .
360,The
361,I know .
362,Mm mm .
363,Yeah .
364,Yeah .
365,Yeah .
366,Yeah .
367,Yeah .
368,Mm .
369,Well
370,Yeah .
371,Definitely .
372,Yeah .
373,Easy-peasy !
374,You
375,probably need to
376,I 'm
377,Who ?
378,Mr .
379,What for ?
380,Structural alterations .
381,What for ?
382,On what ?
383,Mm .
384,I think .
385,No .
386,I would n't
387,Mm .
388,Yeah .
389,Yeah .
390,in .
391,Right .
392,"Well , no"
393,of this .
394,It is exactly
395,Well I mean
396,eh ?
397,Yeah .
398,Yeah .
399,Right .
400,I did .
401,Disco nights .
402,Mm .
403,Oh .
404,Mm .
405,What ?
406,No .
407,.
408,Yeah .
409,Oh alright .
410,Okay .
411,Ranch House .
412,Oh .
413,Eh ?
414,Yeah .
415,Mm .
416,Yeah .
417,Yeah .
418,Criticizing a
419,No !
420,We are
421,we are erm
422,Yeah definite .
423,Yeah .
424,Cheers .
425,Yeah .
426,Yeah !
427,No .
428,Why ?
429,Does it
430,No .
431,Eh !
432,No .
433,Oh yeah .
434,No .
435,Anywhere .
436,Yeah .
437,You what ?
438,And serve
439,pull pints .
440,Grantham .
441,Yeah .
442,Fucking cashier .
443,.
444,Well you
445,Fucking !
446,Alright then .
447,Yeah .
448,Yeah !
449,Yeah !
450,Oh my
451,Mm .
452,Ah !
453,Here !
454,like .
455,Yeah .
456,Yeah .
457,Yeah .
458,Mm .
459,What ?
460,Right .
461,Right .
462,"No , nonsense"
463,Yeah .
464,night ?
465,Yeah .
466,Ah !
467,Yeah .
468,Yeah .
469,Oh .
470,Bye !
471,Bye .
472,Right .
473,I know .
474,I know .
475,Yeah .
476,Oh sorry .
477,Yeah .
478,Oh !
479,Mm .
480,Yeah .
481,Mm .
482,Yeah .
483,Oh right .
484,Erm
485,No .
486,Mhm mm .
487,Oh !
488,Awful !
489,Yeah .
490,Eh !
491,Yeah .
492,Yeah .
493,So
494,Right .
495,Mm .
496,"Well , true"
497,Yeah .
498,Mm .
499,Mm .
500,I know !
501,Incredible price !
502,You still .
503,No .
504,I know .
505,No .
506,inside here .
507,Mm .
508,Right !
509,Alright .
510,Right .
511,Cheers .
512,Bye !
513,Bye bye .
514,Who Charlotte ?
515,Mm .
516,Not bad .
517,drop off
518,Is it ?
519,Oh no .
520,Oh yes .
521,Everley Brothers ?
522,Oh yeah .
523,Shut up .
524,He is .
525,Yes .
526,Forget it .
527,Yeah ?
528,Yeah .
529,No .
530,God knows .
531,Oh no .
532,Ah
533,Yeah .
534,You sure ?
535,Mmm .
536,Cos Terry
537,Why .
538,I mean
539,This ?
540,Mmm .
541,Oh .
542,Yes .
543,Oh yeah ?
544,Oh .
545,Yes .
546,Obviously .
547,Hello .
548,Your er ?
549,Yes .
550,No .
551,Hopefully .
552,Very helpful .
553,Very helpful .
554,Oh .
555,Why ?
556,Oh right .
557,Biscuits .
558,No no .
559,Right .
560,Chips .
561,Chips .
562,MacDonalds .
563,Mac
564,Good .
565,I mean
566,.
567,Nearly there .
568,I did .
569,Did you ?
570,Yeah .
571,Mm .
572,Gemma lives
573,No .
574,She could .
575,Mm .
576,No .
577,It 's
578,What ?
579,Mm .
580,It is .
581,What ?
582,No .
583,Oh
584,Where ?
585,There .
586,Well
587,Yeah .
588,Oh .
589,Why ?
590,Ronald MacDonald .
591,Do n't !
592,Okay .
593,Stay
594,Stay there .
595,Yes .
596,Look dad .
597,Yeah .
598,Any sauce ?
599,Oy mum .
600,What ?
601,Right .
602,Thank you .
603,Now stop
604,No .
605,Why ?
606,No thanks .
607,Just milk .
608,No .
609,Now please .
610,Go .
611,.
612,No .
613,Okay ?
614,french fries .
615,By FRANK KANE
616,By PETER DICKINSON
617,By HUGH MATHESON
618,By JIM WHITE
619,By CELIA DODD
620,By CHRISTIAN WOLMAR
621,By STEVE BALE
622,By PATRICK BARCLAY
623,By OLIVIA TIMBS
624,By OLIVIA TIMBS
625,By OLIVIA TIMBS
626,By JOHN LICHFIELD
627,Maybe .
628,By JAMES RUPPERT
629,By ROGER BELL
630,By MICHAEL JACKSON
631,By ANNA PAVORD
632,Andrew Bibby reports
633,By ANDREW BIBBY
634,By ANGELA LAMBERT
635,Constable landscapes …
636,By GAVIN STAMP
637,Oriana Baddeley
638,Fig. 1 .
639,Fig. 2 .
640,Fig. 3 .
641,Fig. 4 .
642,Fig. 5 .
643,Fig. 6 .
644,Fig. 7 .
645,Coll .
646,Dolores Olmeda .
647,Fig. 8 .
648,Coll .
649,Fig 9 .
650,Fig. 10 .
651,Leo Eloesser .
652,Fig. 11 .
653,Coll .
654,Fig. 12 .
655,By Hugh Hebert
656,Law Report .
657,The facts .
658,The legislation .
659,The decision .
660,Shiranikha Herbert barrister
661,Natalie Ford Brighton
662,PAGE wom
663,By Stephen Bierley
664,OVERNIGHT FILE
665,Salvesen boost .
666,In short …
667,PAGE
668,Edoardo Amaldi .
669,Nusseibeh …
670,‘ Sorry .
671,‘ No .
672,He hesitated .
673,McLeish considered .
674,‘ Next …
675,Mark sighed .
676,He nodded .
677,The wedding .
678,Mark asked .
679,Mark nodded .
680,Muldoon shrugged .
681,Mark demanded .
682,Mark demanded .
683,Do you ?
684,Mark nodded .
685,Naturally .
686,Mark said .
687,Mark enquired .
688,‘ Sure .
689,HOMICIDE
690,By FRANCESCA SIMON
691,By CHRISTOPHER SOMERVILLE
692,By MARTYN HARRIS
693,By FRANK JOHNSON
694,By MICHAEL PYE
695,Lucas did .
696,By LEWIS JONES
697,By Karen Cooper
698,By GEORGE JONES
699,SUMMARY
700,1 .
701,2 .
702,3 .
703,SWIMMING TRILOBITES
704,1985 ) ?
705,Overview
706,Ian Masser
707,David Rhind
708,Introduction
709,1 .
710,2 .
711,3 .
712,4 .
713,5 .
714,1 .
715,2 .
716,3 .
717,4 .
718,5 .
719,6 .
720,The processes themselves
721,1 .
722,2 .
723,3 .
724,4 .
725,1 .
726,2 .
727,3 .
728,4 .
729,1 .
730,2 .
731,3 .
732,4 .
733,The private sector
734,The local scale
735,1 .
736,2 .
737,3 .
738,1 .
739,2 .
740,3 .
741,4 .
742,5 .
743,1 .
744,2 .
745,3 .
746,4 .
747,5 .
748,1 .
749,2 .
750,3 .
751,4 .
752,5 .
753,6 .
754,7 .
755,8 .
756,9 .
757,10 .
758,1 .
759,2 .
760,3 .
761,4 .
762,5 .
763,6 .
764,What next ?
765,Acknowledgements
766,Introduction
767,Hazard research
768,Hazardous waste disposal
769,Emergency planning
770,Natural hazards
771,Environmental epidemiology
772,Hazardous waste disposal
773,Environmental epidemiology
774,Data availability
775,Spatial statistics
776,‘ Right .
777,And quickly .
778,Forster grunted .
779,Nell shuddered .
780,He hesitated .
781,Nell shuddered .
782,Night .
783,He chuckled .
784,Or both ?
785,To confirm .
786,He shrugged .
787,Nothing .
788,Quietly .
789,And … ’
790,She faltered .
791,Nell shrugged .
792,Understand ?
793,She smiled .
794,A sound .
795,‘ No .
796,I sympathize .
797,No matter .
798,Cook said .
799,‘ Hoity-toity !
800,Cook demanded .
801,‘ Sean ?
802,Ruth asked .
803,‘ Please !
804,I demanded .
805,I persevered .
806,He shrugged .
807,Sweetman stood .
808,Beryl said .
809,‘ Why ?
810,A popular .
811,Probably not .
812,Ten years …
813,Quickly .
814,Conclusion
815,Man-power planning
816,Checklists
817,Routines
818,Knowledge texts
819,Residential units
820,She commented :
821,1
822,2
823,3
824,4
825,5
826,6
827,7
828,8
829,9
830,A. ) .
831,3 .
832,3.1 .
833,The basic equations
834,3.2 .
835,3.4 .
836,PROLOGUE
837,Early .
838,What nonsense .
839,""" Lèse-majesté ."
840,And you ?
841,""" Androgynous ."
842,""" Kenya ."
843,Gilda laughed .
844,‘ Yourself .
845,Clare asked .
846,Thank you !
847,Buzz said .
848,Buzz asked .
849,18
850,Nowak laughed .
851,As hostage .
852,A woman .
853,‘ No .
854,‘ Three .
855,‘ More .
856,Thirty million .
857,Jesus . ’
858,‘ Yes .
859,Sorge shrugged .
860,‘ Goodenache .
861,No more .
862,‘ Bormann .
863,Fucking Bormann .
864,‘ Nordhausen .
865,‘ Ah !
866,‘ No .
867,‘ Was .
868,‘ Yes .
869,He laughed .
870,Yeah .
871,Mm .
872,Mm .
873,Hallo there
874,Oh no .
875,Right .
876,Economy seven .
877,Yeah .
878,Yes .
879,Yeah .
880,Yeah .
881,you ?
882,Oh yes .
883,No .
884,No .
885,That 's
886,Yeah .
887,Yeah .
888,Yeah .
889,Yes .
890,Yeah .
891,No .
892,Okay .
893,And
894,Yeah .
895,The carpets
896,Yes .
897,Right .
898,Oh right .
899,But it
900,No .
901,Yeah .
902,No .
903,Mm .
904,Yeah .
905,Yeah .
906,Yeah .
907,Yeah .
908,Yeah .
909,Yeah .
910,Mm .
911,Mm .
912,Yeah .
913,Yeah .
914,The bathroom
915,No .
916,Yeah .
917,Yeah .
918,It 's quite
919,Very pleasant .
920,Big enough .
921,Yeah .
922,Yeah .
923,Yeah .
924,Mm .
925,Nice .
926,Yeah .
927,Yes .
928,Or
929,Yeah .
930,Yeah .
931,like ours .
932,Yeah .
933,Yeah .
934,Yeah .
935,Yeah .
936,Yeah .
937,Yeah .
938,Yes .
939,It 's
940,Eh ?
941,Mm .
942,Yeah .
943,Yeah .
944,Yeah .
945,Very .
946,Above .
947,Mm .
948,Mm .
949,this one .
950,Yeah .
951,Yes .
952,Yeah .
953,Yeah .
954,Yeah .
955,Yeah .
956,Mm .
957,Mm .
958,Yeah .
959,Terrible .
960,Yes .
961,Very much .
962,They they they
963,allocated parking .
964,Oh good .
965,Oh yeah .
966,No .
