prompt,completion
"I've lost all hope of a solution.
Target Domain: hope
Source Domain:", possessions END
"Her hopes were crushed.
Target Domain: hope
Source Domain:", possessions END
"He recovered his hopes for a peace on earth.
Target Domain: hope
Source Domain:", possessions END
"I was moved by the poem.
Target Domain: emotion
Source Domain:", motion END
"You send me.
Target Domain: emotion
Source Domain:", motion END
"I went into transports of joy.
Target Domain: emotion
Source Domain:", motion END
"You have to weigh the pros and cons.
Target Domain: comparison
Source Domain:", scale END
"TV viewership is higher during prime time than daytime
Target Domain: comparison
Source Domain:", scale END
"The scale just tipped in favor of my voting yes.
Target Domain: comparison
Source Domain:", scale END
"He's been trying to get his hands on the property for years.
Target Domain: possession
Source Domain:", holding END
"Even in backruptcy he managed to hang onto his car collection.
Target Domain: possession
Source Domain:", holding END
"He keeps a tight grip on his valuable stocks.
Target Domain: possession
Source Domain:", holding END
"It is smooth sailing from here on in in the application process.
Target Domain: action
Source Domain:", motion END
"We slogged through the application process.
Target Domain: action
Source Domain:", motion END
"He successfully navigated her way through the contract negotiations.
Target Domain: action
Source Domain:", motion END
"Time heals all wounds.
Target Domain: time
Source Domain:", changer END
"Time had not been kind to him.
Target Domain: time
Source Domain:", changer END
"Time had made her look old.
Target Domain: time
Source Domain:", changer END
"He's a real wolf.
Target Domain: lust
Source Domain:", animal END
"He looks like he's ready to pounce.
Target Domain: lust
Source Domain:", animal END
"A tigress in bed.
Target Domain: lust
Source Domain:", animal END
"Follow your reasoning where it takes you.
Target Domain: logic
Source Domain:", path END
"Does your reasoning give you the answer you wanted?
Target Domain: logic
Source Domain:", path END
"This argument yields the following conclusions.
Target Domain: logic
Source Domain:", path END
"I am the richest man in the world: I have the love of my family.
Target Domain: wealth
Source Domain:", well-being END
"The cynics of this world lead impoverished lives.
Target Domain: wealth
Source Domain:", well-being END
"It is a poor man who has no love of himself.
Target Domain: wealth
Source Domain:", well-being END
"A knotty problem.
Target Domain: problem
Source Domain:", tangle END
"He unraveled the problem.
Target Domain: problem
Source Domain:", tangle END
"He untangled the problem.
Target Domain: problem
Source Domain:", tangle END
"He's really high.
Target Domain: euphoria
Source Domain:", up END
"She's coming down
Target Domain: euphoria
Source Domain:", up END
"He stuck by his word.
Target Domain: compliance
Source Domain:", adherence END
"He adhered to his contract.
Target Domain: compliance
Source Domain:", adherence END
"The adherents of that theory will soon be beaten out by new theorists.
Target Domain: debate
Source Domain:", competition END
"A fierce battle is shaping up in modern philosophy.
Target Domain: debate
Source Domain:", competition END
"Evolution is the leading biological theory
Target Domain: debate
Source Domain:", competition END
"His reputation is besmirched.
Target Domain: morality
Source Domain:", cleanliness END
