;Source Domain;Target Domain;Title;Metaphor;Example
0;object, mover;force;A Force Is A Moving Object;The Object Has A Source;Even small magnets are sources of magnetism that can erase credit cards.
1;object, mover;force;A Force Is A Moving Object;The Object Has A Goal And Direction;The attractive force of the females' pheromones is directed only at males of the same species.
2;object, mover;force;A Force Is A Moving Object;The Object May Have An Intention;Greed is the strongest evil force at work in the world today.
3;object, mover;force;A Force Is A Moving Object;The Object Can Hit An Affected Party;It takes a long time for force applied at one end of a long train to reach the other end.
4;object, mover;force;A Force Is A Moving Object;The Object Can Move An Affected Party In Its Own Direction;The magnetic force pulled at the horseshoe.
5;object, mover;force;A Force Is A Moving Object;The Object Can Move An Affected Party In Its Own Direction;The centrifugal force pushed the coin to the edge of the disk.
6;object, mover;force;A Force Is A Moving Object;The Object Can Hold/control The Affected Party;The force of the tractor beam held the shuttlecraft motionless.
7;object, mover;force;A Force Is A Moving Object;The Object Can Hold/control The Affected Party;The force of his hypnotic words had me in its grip.
8;object, mover;force;A Force Is A Moving Object;The Strength Of The Object Determines Its Ability To Affect Affected Party.;The force of gravity on the moon is much weaker.
9;object, mover;force;A Force Is A Moving Object;The Strength Of The Object Determines Its Ability To Affect Affected Party.;Big magnets emit strong, undeniable forces.
10;object, mover;force;A Force Is A Moving Object;?the Size Of The Object Determines Its Ability Of Affect Affected Party.;?Gravity is a much larger force than wind resistance.
11;body of water;problem;A Problem Is A Body Of Water;Investigating Problem Is Exploring Water;He dived right into the problem.
12;body of water;problem;A Problem Is A Body Of Water;Investigating Problem Is Exploring Water;He really immersed himself in the problem.
13;body of water;problem;A Problem Is A Body Of Water;Difficulty In Solving Is Difficulty In Exploring Water;The problem itself is murky.
14;body of water;problem;A Problem Is A Body Of Water;Difficulty In Solving Is Difficulty In Exploring Water;The murky waters of the investigation frustrated him.
15;body of water;problem;A Problem Is A Body Of Water;Trying To Solve Is Looking For Object In Water;He'd been fishing for the answer for weeks.
16;body of water;problem;A Problem Is A Body Of Water;Trying To Solve Is Looking For Object In Water;He kept coming up empty.
